id,created_at,updated_at,service_name,service_content,description,prices,category_id
1,,,Lawn installations,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi luctus lectus quis leo lacinia, vitae egestas enim mattis. Cras sollicitudin justo nec libero vulputate, ac varius turpis tristique. Suspendisse potenti. Phasellus lectus elit, consectetur at vulputate ac, consectetur sed tortor. Etiam egestas placerat viverra. Sed ut elit ultricies lectus rutrum rutrum at vitae justo. Quisque non tempor neque. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Morbi ac placerat elit. Vestibulum pulvinar eu libero eget tristique. Nulla non arcu semper, ultricies nisl ac, faucibus nisl. Quisque faucibus quis tortor in bibendum.","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi luctus lectus quis leo lacinia, vitae egestas enim mattis. Cras sollicitudin justo nec libero vulputate, ac varius turpis tristique. Suspendisse potenti. Phasellus lectus elit, consectetur at vulputate ac, consectetur sed tortor. Etiam egestas placerat viverra. Sed ut elit ultricies lectus rutrum rutrum at vitae justo. Quisque non tempor neque. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Morbi ac placerat elit. Vestibulum pulvinar eu libero eget tristique. Nulla non arcu semper, ultricies nisl ac, faucibus nisl. Quisque faucibus quis tortor in bibendum.",100,1
2,,,Plowing And Snow Removal,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi luctus lectus quis leo lacinia, vitae egestas enim mattis. Cras sollicitudin justo nec libero vulputate, ac varius turpis tristique. Suspendisse potenti. Phasellus lectus elit, consectetur at vulputate ac, consectetur sed tortor. Etiam egestas placerat viverra. Sed ut elit ultricies lectus rutrum rutrum at vitae justo. Quisque non tempor neque. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Morbi ac placerat elit. Vestibulum pulvinar eu libero eget tristique. Nulla non arcu semper, ultricies nisl ac, faucibus nisl. Quisque faucibus quis tortor in bibendum.","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi luctus lectus quis leo lacinia, vitae egestas enim mattis. Cras sollicitudin justo nec libero vulputate, ac varius turpis tristique. Suspendisse potenti. Phasellus lectus elit, consectetur at vulputate ac, consectetur sed tortor. Etiam egestas placerat viverra. Sed ut elit ultricies lectus rutrum rutrum at vitae justo. Quisque non tempor neque. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Morbi ac placerat elit. Vestibulum pulvinar eu libero eget tristique. Nulla non arcu semper, ultricies nisl ac, faucibus nisl. Quisque faucibus quis tortor in bibendum.",200,1
3,,,Lawn Mowing,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi luctus lectus quis leo lacinia, vitae egestas enim mattis. Cras sollicitudin justo nec libero vulputate, ac varius turpis tristique. Suspendisse potenti. Phasellus lectus elit, consectetur at vulputate ac, consectetur sed tortor. Etiam egestas placerat viverra. Sed ut elit ultricies lectus rutrum rutrum at vitae justo. Quisque non tempor neque. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Morbi ac placerat elit. Vestibulum pulvinar eu libero eget tristique. Nulla non arcu semper, ultricies nisl ac, faucibus nisl. Quisque faucibus quis tortor in bibendum.","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi luctus lectus quis leo lacinia, vitae egestas enim mattis. Cras sollicitudin justo nec libero vulputate, ac varius turpis tristique. Suspendisse potenti. Phasellus lectus elit, consectetur at vulputate ac, consectetur sed tortor. Etiam egestas placerat viverra. Sed ut elit ultricies lectus rutrum rutrum at vitae justo. Quisque non tempor neque. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Morbi ac placerat elit. Vestibulum pulvinar eu libero eget tristique. Nulla non arcu semper, ultricies nisl ac, faucibus nisl. Quisque faucibus quis tortor in bibendum.",300,1
4,,,Plant Trimming,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi luctus lectus quis leo lacinia, vitae egestas enim mattis. Cras sollicitudin justo nec libero vulputate, ac varius turpis tristique. Suspendisse potenti. Phasellus lectus elit, consectetur at vulputate ac, consectetur sed tortor. Etiam egestas placerat viverra. Sed ut elit ultricies lectus rutrum rutrum at vitae justo. Quisque non tempor neque. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Morbi ac placerat elit. Vestibulum pulvinar eu libero eget tristique. Nulla non arcu semper, ultricies nisl ac, faucibus nisl. Quisque faucibus quis tortor in bibendum.","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi luctus lectus quis leo lacinia, vitae egestas enim mattis. Cras sollicitudin justo nec libero vulputate, ac varius turpis tristique. Suspendisse potenti. Phasellus lectus elit, consectetur at vulputate ac, consectetur sed tortor. Etiam egestas placerat viverra. Sed ut elit ultricies lectus rutrum rutrum at vitae justo. Quisque non tempor neque. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Morbi ac placerat elit. Vestibulum pulvinar eu libero eget tristique. Nulla non arcu semper, ultricies nisl ac, faucibus nisl. Quisque faucibus quis tortor in bibendum.",400,1
5,,,Decorative Stone,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi luctus lectus quis leo lacinia, vitae egestas enim mattis. Cras sollicitudin justo nec libero vulputate, ac varius turpis tristique. Suspendisse potenti. Phasellus lectus elit, consectetur at vulputate ac, consectetur sed tortor. Etiam egestas placerat viverra. Sed ut elit ultricies lectus rutrum rutrum at vitae justo. Quisque non tempor neque. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Morbi ac placerat elit. Vestibulum pulvinar eu libero eget tristique. Nulla non arcu semper, ultricies nisl ac, faucibus nisl. Quisque faucibus quis tortor in bibendum.","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi luctus lectus quis leo lacinia, vitae egestas enim mattis. Cras sollicitudin justo nec libero vulputate, ac varius turpis tristique. Suspendisse potenti. Phasellus lectus elit, consectetur at vulputate ac, consectetur sed tortor. Etiam egestas placerat viverra. Sed ut elit ultricies lectus rutrum rutrum at vitae justo. Quisque non tempor neque. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Morbi ac placerat elit. Vestibulum pulvinar eu libero eget tristique. Nulla non arcu semper, ultricies nisl ac, faucibus nisl. Quisque faucibus quis tortor in bibendum.",700,2
6,,,Plantings and Gardens,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi luctus lectus quis leo lacinia, vitae egestas enim mattis. Cras sollicitudin justo nec libero vulputate, ac varius turpis tristique. Suspendisse potenti. Phasellus lectus elit, consectetur at vulputate ac, consectetur sed tortor. Etiam egestas placerat viverra. Sed ut elit ultricies lectus rutrum rutrum at vitae justo. Quisque non tempor neque. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Morbi ac placerat elit. Vestibulum pulvinar eu libero eget tristique. Nulla non arcu semper, ultricies nisl ac, faucibus nisl. Quisque faucibus quis tortor in bibendum.","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi luctus lectus quis leo lacinia, vitae egestas enim mattis. Cras sollicitudin justo nec libero vulputate, ac varius turpis tristique. Suspendisse potenti. Phasellus lectus elit, consectetur at vulputate ac, consectetur sed tortor. Etiam egestas placerat viverra. Sed ut elit ultricies lectus rutrum rutrum at vitae justo. Quisque non tempor neque. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Morbi ac placerat elit. Vestibulum pulvinar eu libero eget tristique. Nulla non arcu semper, ultricies nisl ac, faucibus nisl. Quisque faucibus quis tortor in bibendum.",800,2
7,,,Leaf removal and Pickup,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi luctus lectus quis leo lacinia, vitae egestas enim mattis. Cras sollicitudin justo nec libero vulputate, ac varius turpis tristique. Suspendisse potenti. Phasellus lectus elit, consectetur at vulputate ac, consectetur sed tortor. Etiam egestas placerat viverra. Sed ut elit ultricies lectus rutrum rutrum at vitae justo. Quisque non tempor neque. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Morbi ac placerat elit. Vestibulum pulvinar eu libero eget tristique. Nulla non arcu semper, ultricies nisl ac, faucibus nisl. Quisque faucibus quis tortor in bibendum.","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi luctus lectus quis leo lacinia, vitae egestas enim mattis. Cras sollicitudin justo nec libero vulputate, ac varius turpis tristique. Suspendisse potenti. Phasellus lectus elit, consectetur at vulputate ac, consectetur sed tortor. Etiam egestas placerat viverra. Sed ut elit ultricies lectus rutrum rutrum at vitae justo. Quisque non tempor neque. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Morbi ac placerat elit. Vestibulum pulvinar eu libero eget tristique. Nulla non arcu semper, ultricies nisl ac, faucibus nisl. Quisque faucibus quis tortor in bibendum.",1000,2
8,,,Tree Work,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi luctus lectus quis leo lacinia, vitae egestas enim mattis. Cras sollicitudin justo nec libero vulputate, ac varius turpis tristique. Suspendisse potenti. Phasellus lectus elit, consectetur at vulputate ac, consectetur sed tortor. Etiam egestas placerat viverra. Sed ut elit ultricies lectus rutrum rutrum at vitae justo. Quisque non tempor neque. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Morbi ac placerat elit. Vestibulum pulvinar eu libero eget tristique. Nulla non arcu semper, ultricies nisl ac, faucibus nisl. Quisque faucibus quis tortor in bibendum.","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi luctus lectus quis leo lacinia, vitae egestas enim mattis. Cras sollicitudin justo nec libero vulputate, ac varius turpis tristique. Suspendisse potenti. Phasellus lectus elit, consectetur at vulputate ac, consectetur sed tortor. Etiam egestas placerat viverra. Sed ut elit ultricies lectus rutrum rutrum at vitae justo. Quisque non tempor neque. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Morbi ac placerat elit. Vestibulum pulvinar eu libero eget tristique. Nulla non arcu semper, ultricies nisl ac, faucibus nisl. Quisque faucibus quis tortor in bibendum.",1000,2
9,,,Top Soil Grading,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi luctus lectus quis leo lacinia, vitae egestas enim mattis. Cras sollicitudin justo nec libero vulputate, ac varius turpis tristique. Suspendisse potenti. Phasellus lectus elit, consectetur at vulputate ac, consectetur sed tortor. Etiam egestas placerat viverra. Sed ut elit ultricies lectus rutrum rutrum at vitae justo. Quisque non tempor neque. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Morbi ac placerat elit. Vestibulum pulvinar eu libero eget tristique. Nulla non arcu semper, ultricies nisl ac, faucibus nisl. Quisque faucibus quis tortor in bibendum.","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi luctus lectus quis leo lacinia, vitae egestas enim mattis. Cras sollicitudin justo nec libero vulputate, ac varius turpis tristique. Suspendisse potenti. Phasellus lectus elit, consectetur at vulputate ac, consectetur sed tortor. Etiam egestas placerat viverra. Sed ut elit ultricies lectus rutrum rutrum at vitae justo. Quisque non tempor neque. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Morbi ac placerat elit. Vestibulum pulvinar eu libero eget tristique. Nulla non arcu semper, ultricies nisl ac, faucibus nisl. Quisque faucibus quis tortor in bibendum.",1500,3
10,,,Sod Installation and Maintenance,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi luctus lectus quis leo lacinia, vitae egestas enim mattis. Cras sollicitudin justo nec libero vulputate, ac varius turpis tristique. Suspendisse potenti. Phasellus lectus elit, consectetur at vulputate ac, consectetur sed tortor. Etiam egestas placerat viverra. Sed ut elit ultricies lectus rutrum rutrum at vitae justo. Quisque non tempor neque. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Morbi ac placerat elit. Vestibulum pulvinar eu libero eget tristique. Nulla non arcu semper, ultricies nisl ac, faucibus nisl. Quisque faucibus quis tortor in bibendum.","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi luctus lectus quis leo lacinia, vitae egestas enim mattis. Cras sollicitudin justo nec libero vulputate, ac varius turpis tristique. Suspendisse potenti. Phasellus lectus elit, consectetur at vulputate ac, consectetur sed tortor. Etiam egestas placerat viverra. Sed ut elit ultricies lectus rutrum rutrum at vitae justo. Quisque non tempor neque. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Morbi ac placerat elit. Vestibulum pulvinar eu libero eget tristique. Nulla non arcu semper, ultricies nisl ac, faucibus nisl. Quisque faucibus quis tortor in bibendum.",1500,3
